fighter_name,Height,Weight,Reach,Stance,DOB
Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
Alan Gomez,,155 lbs.,,,
Alan Hiro,"5' 5""",135 lbs.,,Orthodox,"Apr 04, 1986"
Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988"
Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
Alavutdin Gadjiev,"6' 2""",185 lbs.,,Orthodox,"Jun 23, 1982"
Albert Cheng,"5' 11""",170 lbs.,,Orthodox,"Feb 07, 1985"
Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
Albert Rios,"5' 8""",145 lbs.,,,
Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
Alberta Cerra Leon,"5' 8""",238 lbs.,,,
Alberto Crane,"5' 5""",155 lbs.,,Orthodox,"Jul 14, 1976"
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
Alejandro Garcia,"5' 7""",145 lbs.,,,
Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
Alejandro Villalobos,"5' 7""",145 lbs.,,,"Oct 26, 1979"
Aleksa Camur,"6' 0""",205 lbs.,,,"Sep 25, 1995"
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,"Aug 02, 1981"
Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982"
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,"May 14, 1974"
Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
Alex Chambers,"5' 3""",115 lbs.,"63""",,"Oct 25, 1978"
Alex Crispin,,155 lbs.,,,
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
Alex Dunworth,"5' 8""",155 lbs.,,,
Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
Alex Higley,"5' 10""",145 lbs.,,,
Alex Huddleston,"6' 7""",254 lbs.,,,"Aug 11, 1986"
Alex Hunter,"5' 9""",226 lbs.,,Orthodox,
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990"
Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992"
Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986"
Alex Schoenauer,"6' 3""",185 lbs.,,Orthodox,"May 05, 1976"
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984"
Alex Stiebling,"6' 2""",205 lbs.,,Southpaw,
Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988"
Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
Alex Zuniga,,145 lbs.,,,
Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
Alexander Crispim,,145 lbs.,,,
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
Alexander Munoz,"5' 9""",155 lbs.,,Switch,"Feb 27, 1990"
Alexander Otsuka,"6' 1""",205 lbs.,,Orthodox,"Jul 17, 1971"
Alexander Poppeck,"6' 2""",205 lbs.,,,"Apr 06, 1992"
Alexander Romanov,"6' 0""",265 lbs.,,,"Dec 11, 1990"
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,"Jan 17, 1989"
Alexander Shlemenko,"5' 11""",185 lbs.,,,"May 20, 1984"
Alexander Trevino,,170 lbs.,,,
Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,"Nov 19, 1976"
Alexandre Dantas,"6' 2""",238 lbs.,,Orthodox,"Mar 01, 1979"
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979"
Alexandre Franca Nogueira,"5' 7""",145 lbs.,,Orthodox,"Jan 15, 1978"
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
Alexandru Lungu,"6' 0""",385 lbs.,,Orthodox,"Sep 03, 1974"
Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
Alfonso Alcarez,"5' 3""",145 lbs.,,,"Jun 10, 1970"
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,"Feb 13, 1970"
Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
Allan Goes,"6' 0""",205 lbs.,,Orthodox,"Apr 20, 1971"
Allan Nascimento,"5' 9""",125 lbs.,,Orthodox,"Sep 11, 1991"
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
Allen Berube,"5' 8""",155 lbs.,,Orthodox,"Aug 25, 1974"
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989"
Alonzo Martinez,"5' 10""",155 lbs.,,,"Apr 22, 1984"
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987"
Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986"
Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993"
Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994"
Alvaro Herrera,"6' 0""",155 lbs.,"74""",,"May 14, 1990"
Alvin Cacdac,"5' 6""",125 lbs.,,Orthodox,
Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982"
Amador Ramirez,,135 lbs.,,,"Jun 14, 1990"
Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991"
Amanda Lemos,"5' 4""",135 lbs.,"65""",Southpaw,"May 22, 1987"
Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988"
Amanda Ribas,"5' 4""",115 lbs.,,,"Aug 26, 1993"
Amar Suloev,"5' 9""",183 lbs.,,Orthodox,"Jul 01, 1976"
Amaury Bitetti,"5' 9""",185 lbs.,,Orthodox,
Amber Tackett,,115 lbs.,,,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988"
Amir Aliakbari,"6' 3""",250 lbs.,,,"Jun 10, 1984"
Amir Rahnavardi,"6' 0""",205 lbs.,,Orthodox,"Dec 07, 1974"
Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
An Ying Wang,"6' 0""",170 lbs.,,Orthodox,"Apr 04, 1991"
Anatoly Tokov,"5' 10""",185 lbs.,,,"Feb 17, 1990"
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
Andre Amado,"6' 0""",154 lbs.,,Orthodox,
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988"
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990"
Andre Galvao,"5' 7""",168 lbs.,,Orthodox,"Sep 29, 1982"
Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,"May 19, 1977"
Andre Muniz,"6' 2""",185 lbs.,,Southpaw,"Feb 17, 1990"
Andre Mussi,"6' 3""",242 lbs.,,Orthodox,
Andre Pederneiras,"5' 8""",155 lbs.,,Orthodox,"Mar 22, 1967"
Andre Roberts,"6' 2""",345 lbs.,,Orthodox,"Feb 24, 1965"
Andre Santos,"6' 0""",170 lbs.,,,
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988"
Andre Walker,"5' 11""",205 lbs.,,Southpaw,
Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981"
Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989"
Andreas Spang,"6' 1""",185 lbs.,,,"Nov 07, 1978"
Andreas Stahl,"5' 11""",170 lbs.,"73""",Orthodox,"May 20, 1988"
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
Andrei Kopylov,"6' 2""",265 lbs.,,Orthodox,"Jul 16, 1965"
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,"Jun 17, 1977"
Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986"
Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986"
Andrew Montanez,,185 lbs.,,,
Andrew Ramm,"6' 1""",160 lbs.,,,
Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988"
Andrew Todhunter,"6' 0""",185 lbs.,"72""",Switch,"Nov 30, 1987"
Andrew Valladerez,,135 lbs.,,,
Andrews Nakahara,"6' 1""",185 lbs.,,Orthodox,"Mar 12, 1983"
Andrey Koreshkov,"6' 0""",170 lbs.,,,"Aug 23, 1990"
Andy Anderson,"5' 6""",240 lbs.,,,"Jul 16, 1974"
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991"
Andy Murad,"5' 9""",185 lbs.,,,
Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
Andy Ologun,"6' 0""",154 lbs.,,Orthodox,"Jun 12, 1983"
Andy Uhrich,"6' 0""",170 lbs.,,,
Andy Wang,"5' 6""",155 lbs.,,Orthodox,"May 28, 1977"
Andy Waters,"6' 0""",170 lbs.,,,
Angel De Anda,"5' 9""",225 lbs.,,Orthodox,"May 28, 1985"
Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985"
Angela Magana,"5' 1""",115 lbs.,"65""",,"Aug 02, 1983"
Angelo Antonio,,205 lbs.,,Orthodox,
Angelo Trevino,"5' 11""",170 lbs.,,Switch,"Jun 10, 1993"
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,"May 01, 1988"
Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984"
Ansar Chalangov,"5' 9""",170 lbs.,,Orthodox,"Oct 30, 1979"
Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988"
Anthony Alves,,,,,
Anthony Avila,"5' 7""",145 lbs.,,,"Dec 29, 1988"
Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986"
Anthony Christodoulou,"5' 9""",155 lbs.,"72""",Orthodox,"Jul 30, 1987"
Anthony Do,"5' 4""",125 lbs.,,,
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,
Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984"
Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980"
Anthony Leone,"5' 6""",135 lbs.,,Orthodox,"May 27, 1987"
Anthony Macias,"5' 9""",185 lbs.,,Switch,
Anthony Morrison,"5' 7""",145 lbs.,,Orthodox,"Mar 29, 1984"
Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980"
Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972"
Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987"
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989"
Anthony Ruiz,"6' 2""",205 lbs.,,Orthodox,"Nov 03, 1977"
Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
Anthony Taylor,"5' 7""",145 lbs.,,,
Anthony Torres,"5' 8""",170 lbs.,,Orthodox,"Jul 31, 1978"
Anton Berzin,"6' 2""",205 lbs.,,Orthodox,"Sep 29, 1989"
Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984"
Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987"
Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,"Feb 05, 1976"
Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984"
Antonio Arroyo,"6' 0""",185 lbs.,,Orthodox,"Jul 01, 1989"
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987"
Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990"
Antonio Carvalho,"5' 9""",145 lbs.,"68""",Orthodox,"May 30, 1979"
Antonio Dos Santos,"5' 10""",185 lbs.,"72""",Orthodox,"Jul 21, 1988"
Antonio Duarte,"5' 7""",135 lbs.,,,
Antonio Jones,"5' 11""",185 lbs.,,Orthodox,"Apr 12, 1985"
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,"Mar 12, 1970"
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981"
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,"Jun 01, 1974"
Antonio Silva,"6' 4""",264 lbs.,"80""",Orthodox,"Sep 14, 1979"
Antonio Trocoli,"6' 5""",205 lbs.,,,"Dec 06, 1990"
Antony Rea,"6' 0""",205 lbs.,,Orthodox,"Jul 15, 1976"
Antwain Britt,"6' 1""",205 lbs.,"77""",,"May 09, 1978"
Ariane Lipski,"5' 3""",125 lbs.,"67""",Orthodox,"Jan 26, 1994"
Ariel Beck,"5' 6""",125 lbs.,"66""",,"Sep 16, 1990"
Ariel Gandulla,"5' 11""",205 lbs.,,Orthodox,"May 07, 1968"
Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986"
Arlene Blencowe,"5' 5""",145 lbs.,,,"Apr 11, 1983"
Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996"
Armando Villarreal,"5' 7""",145 lbs.,,,"Aug 08, 1989"
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994"
Art Arciniega,"5' 8""",145 lbs.,,,"Oct 15, 1981"
Art Jimmerson,"6' 1""",196 lbs.,,Orthodox,"Aug 04, 1963"
Art Santore,"6' 2""",185 lbs.,,,"Oct 26, 1972"
Artem Frolov,"5' 10""",185 lbs.,,,"Sep 07, 1991"
Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986"
Artenus Young,,205 lbs.,,,"Jul 16, 1980"
Artur Oumakhanov,"5' 7""",154 lbs.,,Orthodox,"Feb 27, 1979"
Asbel Cancio,"5' 10""",225 lbs.,,,
Ashe Bowman,"5' 9""",155 lbs.,,,"Nov 17, 1976"
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985"
Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987"
Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987"
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,"Jun 18, 1974"
Atsushi Yamamoto,"5' 6""",139 lbs.,,Orthodox,"Oct 02, 1980"
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983"
Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984"
Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991"
Aurelijus Kerpe,,,,Orthodox,
Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991"
Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991"
Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987"
Austin Tweedy,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 25, 1990"
Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990"
Azamat Gashimov,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 07, 1990"
Azamat Murzakanov,"5' 11""",205 lbs.,,,
BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978"
Bao Quach,"5' 3""",145 lbs.,,Orthodox,"Sep 04, 1979"
Barb Honchak,"5' 4""",125 lbs.,"65""",,"Aug 30, 1979"
Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983"
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
Baru Harn,,265 lbs.,,,
Bas Rutten,"6' 1""",205 lbs.,,Orthodox,"Feb 24, 1965"
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991"
Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989"
Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988"
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984"
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,
Ben Holscher,"5' 11""",155 lbs.,,,
Ben Jones,,185 lbs.,,,
Ben Lagman,"6' 2""",185 lbs.,,,"Sep 04, 1986"
Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988"
Ben Reiter,"6' 3""",185 lbs.,,,"Jun 27, 1987"
Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981"
Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983"
Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989"
Bendy Casimir,"5' 5""",145 lbs.,,Southpaw,"Jun 10, 1980"
Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994"
Benji Radach,"5' 10""",185 lbs.,,Orthodox,"Apr 05, 1979"
Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981"
Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983"
Bentley Syler,"5' 4""",125 lbs.,"68""",Orthodox,"Dec 22, 1982"
Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981"
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,
Besam Yousef,"5' 11""",170 lbs.,"71""",Orthodox,"Mar 25, 1985"
Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983"
Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991"
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,"Mar 30, 1980"
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
Bill Cooper,,155 lbs.,,,"May 05, 1984"
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,
Bill Mahood,"6' 3""",200 lbs.,,Orthodox,"Feb 01, 1967"
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980"
Billy Giovanella,"5' 8""",125 lbs.,,,"Aug 20, 1985"
Billy Miles,"5' 10""",170 lbs.,,Orthodox,"Apr 28, 1978"
Billy Quarantillo,"5' 10""",155 lbs.,,,
Billy Vaughan,"5' 6""",155 lbs.,,,"Dec 02, 1983"
Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986"
Blair Tugman,"6' 0""",135 lbs.,,,
Blake Bowman,"6' 2""",170 lbs.,,,
Blake Watkins,,185 lbs.,,,
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983"
Bo Cantrell,"6' 2""",235 lbs.,,Orthodox,"Feb 08, 1969"
Bob Cook,"5' 9""",170 lbs.,,Orthodox,
Bob Gilstrap,"6' 3""",200 lbs.,,Orthodox,
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,"Sep 22, 1974"
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,
Bobby Cooper,"6' 1""",155 lbs.,,,
Bobby Escalante,,130 lbs.,,,
Bobby Flynn,,170 lbs.,,,
Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
Bobby Hoffman,"6' 2""",245 lbs.,,Orthodox,"Oct 28, 1968"
Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976"
Bobby McAndrews,,,,Orthodox,
Bobby Moffett,"5' 10""",145 lbs.,"74""",Orthodox,"Jun 01, 1990"
Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990"
Bobby Sanchez,"5' 7""",155 lbs.,,Orthodox,
Bobby Southworth,"6' 2""",205 lbs.,,Orthodox,"Dec 16, 1969"
