R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Bevon Lewis;Darren Stewart;0;0;31 of 84;30 of 73;36%;41%;45 of 98;40 of 84;0 of 5;0 of 0;0%;0%;0;0;0;0;0;0;13 of 49;11 of 52;12 of 23;5 of 6;6 of 12;14 of 15;15 of 62;18 of 55;16 of 22;12 of 18;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Middleweight Bout;Darren Stewart
Eddie Wineland;Grigorii Popov;2;0;74 of 171;55 of 150;43%;36%;74 of 171;55 of 150;0 of 2;0 of 1;0%;0%;0;0;0;0;0;0;48 of 129;24 of 97;23 of 39;20 of 39;3 of 3;11 of 14;70 of 165;52 of 146;0 of 1;3 of 4;4 of 5;0 of 0;KO/TKO;2;4:47;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Bantamweight Bout;Eddie Wineland
Katlyn Chookagian;Joanne Calderwood;0;0;82 of 221;112 of 266;37%;42%;108 of 250;141 of 300;0 of 2;3 of 4;0%;75%;0;0;0;0;0;0;50 of 179;24 of 139;20 of 27;19 of 40;12 of 15;69 of 87;78 of 215;104 of 252;3 of 5;7 of 12;1 of 1;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Women's Flyweight Bout;Katlyn Chookagian
Alexander Gustafsson;Anthony Smith;0;0;72 of 151;49 of 104;47%;47%;73 of 152;51 of 107;1 of 3;0 of 1;33%;0%;0;1;1;1;0;0;26 of 79;19 of 62;8 of 21;11 of 19;38 of 51;19 of 23;70 of 147;44 of 98;0 of 1;0 of 1;2 of 3;5 of 5;Submission;4;2:38;5 Rnd (5-5-5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Light Heavyweight Bout;Anthony Smith
Jimi Manuwa;Aleksandar Rakic;0;1;2 of 3;2 of 7;66%;28%;2 of 3;2 of 7;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;1 of 2;1 of 5;0 of 0;0 of 0;1 of 1;1 of 2;2 of 3;2 of 7;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:47;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Light Heavyweight Bout;Aleksandar Rakic
Makwan Amirkhani;Chris Fishgold;0;0;9 of 27;16 of 52;33%;30%;18 of 36;16 of 52;1 of 2;0 of 0;50%;0%;1;0;2;0;0;0;6 of 21;4 of 30;1 of 3;3 of 5;2 of 3;9 of 17;6 of 23;16 of 52;0 of 0;0 of 0;3 of 4;0 of 0;Submission;2;4:25;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Featherweight Bout;Makwan Amirkhani
Damir Hadzovic;Christos Giagos;0;0;24 of 61;47 of 113;39%;41%;42 of 87;67 of 141;1 of 1;6 of 13;100%;46%;0;0;0;3;0;0;20 of 48;28 of 90;3 of 12;12 of 16;1 of 1;7 of 7;14 of 45;38 of 91;5 of 6;6 of 10;5 of 10;3 of 12;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;June 01, 2019;Stockholm, Sweden;Lightweight Bout;Christos Giagos
Daniel Teymur;Sung Bin Jo;0;0;40 of 83;21 of 63;48%;33%;49 of 93;23 of 65;1 of 6;1 of 3;16%;33%;0;1;0;0;0;0;22 of 53;13 of 53;5 of 6;7 of 9;13 of 24;1 of 1;24 of 57;12 of 52;8 of 11;8 of 10;8 of 15;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Featherweight Bout;Daniel Teymur
Rostem Akman;Sergey Khandozhko;0;1;39 of 100;60 of 149;39%;40%;40 of 103;60 of 151;2 of 5;1 of 6;40%;16%;0;0;1;1;0;0;30 of 91;30 of 100;6 of 6;11 of 27;3 of 3;19 of 22;31 of 91;55 of 141;8 of 9;5 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Welterweight Bout;Sergey Khandozhko
Tonya Evinger;Lina Lansberg;0;0;6 of 11;50 of 68;54%;73%;68 of 83;151 of 181;1 of 4;1 of 2;25%;50%;0;0;2;2;0;1;2 of 7;45 of 62;4 of 4;5 of 6;0 of 0;0 of 0;4 of 9;1 of 4;1 of 1;7 of 10;1 of 1;42 of 54;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Women's Bantamweight Bout;Lina Lansberg
Stevie Ray;Leonardo Santos;0;1;2 of 11;12 of 16;18%;75%;2 of 11;12 of 16;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;0 of 8;4 of 5;0 of 1;6 of 9;2 of 2;2 of 2;2 of 11;12 of 16;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;2:17;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Lightweight Bout;Leonardo Santos
Nick Hein;Frank Camacho;0;0;37 of 79;100 of 201;46%;49%;45 of 87;105 of 208;1 of 3;0 of 0;33%;0%;0;0;0;0;0;0;20 of 52;68 of 151;8 of 18;30 of 47;9 of 9;2 of 3;36 of 78;93 of 191;1 of 1;7 of 10;0 of 0;0 of 0;KO/TKO;2;4:56;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Lightweight Bout;Frank Camacho
Bea Malecki;Duda Santana;0;0;19 of 71;42 of 106;26%;39%;30 of 82;48 of 112;0 of 0;3 of 5;0%;60%;2;0;1;0;0;0;12 of 63;36 of 90;5 of 6;2 of 10;2 of 2;4 of 6;18 of 69;40 of 102;0 of 0;0 of 2;1 of 2;2 of 2;Submission;2;1:59;3 Rnd (5-5-5);;June 01, 2019;Stockholm, Sweden;Women's Bantamweight Bout;Bea Malecki
Darko Stosic;Devin Clark;0;0;26 of 55;40 of 95;47%;42%;50 of 82;90 of 149;1 of 3;2 of 11;33%;18%;0;0;1;0;0;0;23 of 50;26 of 76;3 of 5;5 of 9;0 of 0;9 of 10;12 of 33;28 of 80;11 of 16;11 of 14;3 of 6;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Light Heavyweight Bout;Devin Clark
Joel Alvarez;Danilo Belluardo;0;0;19 of 41;13 of 20;46%;65%;87 of 113;56 of 68;0 of 0;2 of 2;0%;100%;0;0;1;2;1;0;16 of 32;9 of 16;1 of 4;0 of 0;2 of 5;4 of 4;5 of 23;8 of 13;1 of 1;0 of 0;13 of 17;5 of 7;KO/TKO;2;2:22;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Lightweight Bout;Joel Alvarez
Rafael Dos Anjos;Kevin Lee;0;0;60 of 111;35 of 97;54%;36%;75 of 126;40 of 102;4 of 7;6 of 16;57%;37%;1;0;4;1;1;0;36 of 83;23 of 79;17 of 21;10 of 16;7 of 7;2 of 2;33 of 80;27 of 86;18 of 20;7 of 10;9 of 11;1 of 1;Submission;4;3:47;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Welterweight Bout;Rafael Dos Anjos
Antonio Carlos Junior;Ian Heinisch;0;0;15 of 33;39 of 67;45%;58%;25 of 43;79 of 115;4 of 11;1 of 1;36%;100%;0;0;4;5;1;0;10 of 27;26 of 48;1 of 2;2 of 5;4 of 4;11 of 14;11 of 28;13 of 31;2 of 2;5 of 7;2 of 3;21 of 29;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Middleweight Bout;Ian Heinisch
Megan Anderson;Felicia Spencer;0;0;3 of 6;22 of 31;50%;70%;5 of 8;25 of 34;0 of 0;1 of 2;0%;50%;0;1;0;1;0;0;2 of 5;13 of 17;1 of 1;0 of 5;0 of 0;9 of 9;2 of 4;1 of 7;1 of 2;8 of 9;0 of 0;13 of 15;Submission;1;3:24;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Women's Featherweight Bout;Felicia Spencer
Vicente Luque;Derrick Krantz;1;0;18 of 25;6 of 18;72%;33%;18 of 25;9 of 23;0 of 0;1 of 2;0%;50%;0;0;0;1;0;0;14 of 20;5 of 16;1 of 2;1 of 2;3 of 3;0 of 0;10 of 17;5 of 17;1 of 1;0 of 0;7 of 7;1 of 1;KO/TKO;1;3:52;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Welterweight Bout;Vicente Luque
Charles Oliveira;Nik Lentz;1;0;38 of 59;18 of 49;64%;36%;43 of 64;21 of 53;0 of 0;2 of 4;0%;50%;1;0;3;1;1;0;23 of 38;10 of 36;13 of 19;5 of 9;2 of 2;3 of 4;20 of 34;10 of 39;10 of 17;6 of 8;8 of 8;2 of 2;KO/TKO;2;2:11;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Lightweight Bout;Charles Oliveira
Davi Ramos;Austin Hubbard;0;0;63 of 114;44 of 116;55%;37%;76 of 128;46 of 119;3 of 7;0 of 0;42%;0%;0;0;3;0;0;0;44 of 86;19 of 73;7 of 15;8 of 24;12 of 13;17 of 19;41 of 92;40 of 111;5 of 5;2 of 3;17 of 17;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Lightweight Bout;Davi Ramos
Aspen Ladd;Sijara Eubanks;0;0;69 of 125;77 of 164;55%;46%;85 of 143;80 of 168;3 of 4;2 of 5;75%;40%;3;0;6;2;0;0;57 of 111;60 of 146;7 of 9;16 of 17;5 of 5;1 of 1;38 of 82;61 of 140;14 of 20;12 of 19;17 of 23;4 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Women's Bantamweight Bout;Aspen Ladd
Desmond Green;Charles Jourdain;0;0;78 of 144;55 of 146;54%;37%;85 of 152;55 of 146;4 of 4;0 of 0;100%;0%;0;0;1;0;0;0;56 of 119;11 of 79;15 of 17;14 of 29;7 of 8;30 of 38;61 of 123;54 of 143;7 of 7;1 of 3;10 of 14;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Lightweight Bout;Desmond Green
Danny Roberts;Michel Pereira;0;1;2 of 4;6 of 11;50%;54%;2 of 4;6 of 11;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;0 of 2;4 of 9;0 of 0;2 of 2;2 of 2;0 of 0;2 of 4;5 of 10;0 of 0;1 of 1;0 of 0;0 of 0;KO/TKO;1;1:47;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Welterweight Bout;Michel Pereira
Michael Trizano;Grant Dawson;0;0;20 of 41;27 of 56;48%;48%;24 of 45;34 of 63;0 of 0;3 of 10;0%;30%;0;1;0;4;0;0;10 of 30;9 of 32;7 of 8;12 of 17;3 of 3;6 of 7;16 of 37;15 of 40;4 of 4;11 of 13;0 of 0;1 of 3;Submission;2;2:27;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Featherweight Bout;Grant Dawson
Patrick Cummins;Ed Herman;0;1;22 of 33;11 of 35;66%;31%;22 of 33;14 of 38;1 of 2;0 of 0;50%;0%;0;0;0;0;0;0;21 of 31;11 of 34;0 of 1;0 of 0;1 of 1;0 of 1;18 of 29;8 of 28;4 of 4;1 of 4;0 of 0;2 of 3;KO/TKO;1;3:39;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Light Heavyweight Bout;Ed Herman
Zak Cummings;Trevin Giles;1;0;34 of 100;31 of 64;34%;48%;41 of 107;36 of 69;0 of 2;0 of 0;0%;0%;1;0;0;0;0;0;10 of 67;21 of 49;11 of 16;7 of 12;13 of 17;3 of 3;28 of 92;29 of 61;6 of 8;2 of 3;0 of 0;0 of 0;Submission;3;4:01;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Middleweight Bout;Zak Cummings
Julio Arce;Julian Erosa;1;0;74 of 160;43 of 160;46%;26%;74 of 160;46 of 164;1 of 1;0 of 0;100%;0%;0;0;0;0;0;0;61 of 142;23 of 129;12 of 17;15 of 24;1 of 1;5 of 7;71 of 155;39 of 151;2 of 4;4 of 9;1 of 1;0 of 0;KO/TKO;3;1:49;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Featherweight Bout;Julio Arce
Rose Namajunas;Jessica Andrade;1;0;55 of 125;47 of 105;44%;44%;55 of 125;49 of 107;0 of 2;2 of 4;0%;50%;1;0;1;0;0;0;54 of 124;17 of 68;1 of 1;11 of 17;0 of 0;19 of 20;50 of 119;41 of 98;3 of 3;5 of 6;2 of 3;1 of 1;KO/TKO;2;2:58;5 Rnd (5-5-5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;UFC Women's Strawweight Title Bout;Jessica Andrade
Jared Cannonier;Anderson Silva;1;0;17 of 31;8 of 15;54%;53%;18 of 32;8 of 15;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;5 of 16;1 of 6;2 of 3;3 of 4;10 of 12;4 of 5;14 of 27;7 of 14;3 of 4;1 of 1;0 of 0;0 of 0;KO/TKO;1;4:47;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Middleweight Bout;Jared Cannonier
Jose Aldo;Alexander Volkanovski;0;0;29 of 79;95 of 176;36%;53%;39 of 90;129 of 215;0 of 1;0 of 3;0%;0%;0;0;0;0;0;0;19 of 63;28 of 93;7 of 12;17 of 24;3 of 4;50 of 59;26 of 76;67 of 147;3 of 3;28 of 29;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Featherweight Bout;Alexander Volkanovski
Thiago Alves;Laureano Staropoli;0;0;58 of 147;54 of 202;39%;26%;59 of 148;57 of 205;1 of 3;1 of 1;33%;100%;0;0;0;0;0;0;27 of 107;37 of 167;5 of 10;15 of 31;26 of 30;2 of 4;54 of 141;53 of 199;4 of 6;1 of 3;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Welterweight Bout;Laureano Staropoli
Irene Aldana;Bethe Correia;0;0;83 of 247;81 of 196;33%;41%;84 of 248;81 of 196;0 of 0;0 of 2;0%;0%;1;0;1;0;0;0;67 of 224;43 of 141;11 of 17;18 of 32;5 of 6;20 of 23;80 of 243;80 of 195;3 of 3;1 of 1;0 of 1;0 of 0;Submission;3;3:24;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Women's Bantamweight Bout;Irene Aldana
Rogerio Nogueira;Ryan Spann;0;1;6 of 24;13 of 32;25%;40%;6 of 24;13 of 32;0 of 0;1 of 2;0%;50%;0;1;0;1;0;0;6 of 24;11 of 30;0 of 0;1 of 1;0 of 0;1 of 1;6 of 24;10 of 29;0 of 0;0 of 0;0 of 0;3 of 3;KO/TKO;1;2:07;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Light Heavyweight Bout;Ryan Spann
Thiago Moises;Kurt Holobaugh;0;0;66 of 102;39 of 115;64%;33%;115 of 160;108 of 189;4 of 6;2 of 6;66%;33%;1;0;4;0;0;0;59 of 92;16 of 82;2 of 4;21 of 30;5 of 6;2 of 3;28 of 53;24 of 93;8 of 11;14 of 21;30 of 38;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Lightweight Bout;Thiago Moises
Warlley Alves;Sergio Moraes;1;0;72 of 157;20 of 62;45%;32%;72 of 157;20 of 62;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;36 of 107;12 of 52;10 of 14;7 of 9;26 of 36;1 of 1;70 of 154;19 of 59;2 of 3;1 of 3;0 of 0;0 of 0;KO/TKO;3;4:13;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Welterweight Bout;Warlley Alves
BJ Penn;Clay Guida;0;0;64 of 177;80 of 208;36%;38%;74 of 188;113 of 242;0 of 0;1 of 2;0%;50%;0;0;0;0;0;0;56 of 164;52 of 170;8 of 12;13 of 21;0 of 1;15 of 17;54 of 165;64 of 177;10 of 12;16 of 31;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Lightweight Bout;Clay Guida
Luana Carolina;Priscila Cachoeira;1;0;111 of 231;69 of 149;48%;46%;126 of 251;69 of 149;0 of 0;0 of 2;0%;0%;3;0;1;0;2;2;75 of 180;39 of 103;31 of 46;21 of 34;5 of 5;9 of 12;82 of 181;55 of 125;21 of 40;13 of 23;8 of 10;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Women's Flyweight Bout;Luana Carolina
Raoni Barcelos;Carlos Huachin;1;0;59 of 123;20 of 127;47%;15%;70 of 137;20 of 127;0 of 1;0 of 0;0%;0%;1;0;3;0;0;0;52 of 113;17 of 120;3 of 4;2 of 6;4 of 6;1 of 1;23 of 72;19 of 124;1 of 1;1 of 3;35 of 50;0 of 0;KO/TKO;2;4:49;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Bantamweight Bout;Raoni Barcelos
Talita Bernardo;Viviane Araujo;0;1;46 of 136;61 of 115;33%;53%;51 of 141;66 of 120;0 of 3;3 of 3;0%;100%;0;0;0;3;0;0;28 of 112;34 of 79;8 of 12;9 of 14;10 of 12;18 of 22;45 of 134;57 of 111;1 of 2;0 of 0;0 of 0;4 of 4;KO/TKO;3;0:48;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Women's Bantamweight Bout;Viviane Araujo
Al Iaquinta;Donald Cerrone;0;2;90 of 223;138 of 361;40%;38%;90 of 223;140 of 363;0 of 5;0 of 0;0%;0%;0;0;0;0;0;0;49 of 165;87 of 302;23 of 38;17 of 25;18 of 20;34 of 34;90 of 223;129 of 344;0 of 0;3 of 3;0 of 0;6 of 14;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Jerin Valel;May 04, 2019;Ottawa, Ontario, Canada;Lightweight Bout;Donald Cerrone
Derek Brunson;Elias Theodorou;0;0;56 of 94;65 of 170;59%;38%;65 of 103;87 of 194;4 of 9;0 of 1;44%;0%;0;0;5;0;0;0;34 of 62;16 of 88;11 of 17;27 of 34;11 of 15;22 of 48;45 of 82;53 of 150;6 of 7;12 of 20;5 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 04, 2019;Ottawa, Ontario, Canada;Middleweight Bout;Derek Brunson
Cub Swanson;Shane Burgos;0;0;129 of 256;134 of 268;50%;50%;132 of 260;147 of 282;0 of 2;0 of 0;0%;0%;0;0;0;0;0;0;66 of 167;82 of 208;14 of 26;18 of 25;49 of 63;34 of 35;113 of 239;128 of 260;11 of 12;6 of 8;5 of 5;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;May 04, 2019;Ottawa, Ontario, Canada;Featherweight Bout;Shane Burgos
Brad Katona;Merab Dvalishvili;0;0;32 of 56;55 of 102;57%;53%;43 of 70;215 of 274;0 of 0;5 of 9;0%;55%;0;0;0;3;0;0;21 of 41;43 of 85;4 of 5;6 of 10;7 of 10;6 of 7;17 of 36;24 of 65;12 of 16;4 of 5;3 of 4;27 of 32;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;May 04, 2019;Ottawa, Ontario, Canada;Bantamweight Bout;Merab Dvalishvili
Walt Harris;Serghei Spivac;1;0;17 of 28;1 of 3;60%;33%;17 of 28;1 of 3;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;17 of 27;0 of 2;0 of 1;0 of 0;0 of 0;1 of 1;9 of 18;1 of 3;3 of 4;0 of 0;5 of 6;0 of 0;KO/TKO;1;0:50;3 Rnd (5-5-5);Jerin Valel;May 04, 2019;Ottawa, Ontario, Canada;Heavyweight Bout;Walt Harris
Marc-Andre Barriault;Andrew Sanchez;0;0;69 of 130;72 of 148;53%;48%;76 of 137;102 of 181;0 of 1;2 of 8;0%;25%;0;0;0;3;0;0;55 of 114;44 of 112;12 of 14;21 of 26;2 of 2;7 of 10;35 of 86;54 of 125;29 of 39;12 of 16;5 of 5;6 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 04, 2019;Ottawa, Ontario, Canada;Middleweight Bout;Andrew Sanchez
Macy Chiasson;Sarah Moras;0;0;43 of 66;9 of 11;65%;81%;82 of 107;29 of 38;0 of 0;1 of 3;0%;33%;0;1;3;3;2;0;38 of 61;9 of 11;5 of 5;0 of 0;0 of 0;0 of 0;1 of 2;1 of 1;0 of 0;0 of 0;42 of 64;8 of 10;KO/TKO;2;2:22;3 Rnd (5-5-5);Yves Lavigne;May 04, 2019;Ottawa, Ontario, Canada;Women's Bantamweight Bout;Macy Chiasson
