fighter_name,Height,Weight,Reach,Stance,DOB
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,"Oct 13, 1985"
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989"
Bryan Pardoe,"6' 1""",205 lbs.,,Orthodox,
Bryson Kamaka,"5' 11""",170 lbs.,,Orthodox,
CJ Fernandes,"6' 2""",170 lbs.,,,"Nov 13, 1977"
CJ Hamilton,"5' 7""",125 lbs.,"68""",Switch,"Oct 07, 1986"
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
Cale Yarbrough,"6' 1""",185 lbs.,,Orthodox,"Dec 27, 1986"
Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988"
Canaan Kawaihae,"6' 0""",145 lbs.,,Southpaw,"Aug 26, 1997"
Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975"
Carina Damm,"5' 4""",135 lbs.,,,
Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991"
Carlos Felipe,"6' 0""",245 lbs.,,,"Jan 12, 1995"
Carlos Zevallos,"6' 0""",205 lbs.,,Orthodox,
Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982"
Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
Chad Vance,"6' 0""",185 lbs.,,Orthodox,
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,"Sep 11, 1975"
Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974"
Chase Waldon,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986"
Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985"
Chris Camozzi,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986"
Chris Indich,"5' 10""",170 lbs.,"73""",,"Apr 22, 1987"
Chris Inman,,,,,
Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987"
Chris Yee,"5' 9""",185 lbs.,,,
Christian Ocon,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996"
Christian Uflacker,"5' 11""",170 lbs.,,,"Aug 04, 1985"
Chuck O'Neil,"6' 2""",170 lbs.,,,"Sep 22, 1985"
Cindy Dandois,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984"
Ciryl Gane,"6' 5""",265 lbs.,,,"May 06, 1990"
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988"
Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982"
Clayton MacFarlane,,170 lbs.,,,
Cody East,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988"
Cory Walmsley,"6' 0""",205 lbs.,,Orthodox,
Crafton Wallace,"6' 0""",185 lbs.,,Orthodox,"Nov 10, 1975"
Craig Zellner,"6' 2""",205 lbs.,,Orthodox,"Sep 09, 1976"
Curt Warburton,"6' 0""",155 lbs.,"73""",Orthodox,
Cynthia Calvillo,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987"
Cyrillo Padilha,"5' 11""",155 lbs.,,,"Jan 23, 1978"
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
Daiju Takase,"6' 0""",170 lbs.,,Southpaw,"Apr 20, 1978"
Daisuke Nakamura,"5' 7""",154 lbs.,,Orthodox,"Jun 10, 1980"
Damacio Page,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 30, 1982"
Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986"
Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988"
Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991"
Dan O'Connor,"5' 4""",115 lbs.,,,"Nov 17, 1982"
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,"Dec 27, 1977"
Daniel Gallemore,"6' 5""",265 lbs.,,,
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,"Jul 03, 1983"
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984"
Darren Uyenoyama,"5' 6""",125 lbs.,"64""",Orthodox,"Oct 15, 1979"
Darrion Caldwell,"5' 10""",135 lbs.,,,"Dec 19, 1987"
Dave Dalgliesh,"6' 2""",205 lbs.,,Orthodox,"Apr 05, 1978"
Dave Galera,"5' 11""",135 lbs.,,Orthodox,"Jan 12, 1978"
Dave Jansen,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979"
Dave Zitanick,,170 lbs.,,,"Mar 05, 1980"
Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986"
David Abbott,"6' 0""",265 lbs.,,Switch,
David Kaplan,"5' 7""",155 lbs.,,Orthodox,"Nov 16, 1979"
David Rasouli,"5' 7""",155 lbs.,,,
David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990"
Dean Hancock,,155 lbs.,,,
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977"
Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975"
Derek Campos,"5' 9""",155 lbs.,,,"Apr 01, 1988"
Dimitiri Wanderley,,205 lbs.,,Orthodox,
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990"
Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988"
Dongi Yang,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984"
Donny Walker,"5' 9""",135 lbs.,,,"Jan 04, 1980"
Dustin Jacoby,"6' 4""",185 lbs.,"78""",Orthodox,"Apr 04, 1988"
Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987"
Ed Ratcliff,"5' 10""",155 lbs.,"71""",Orthodox,"Mar 05, 1983"
Eddie Yagin,"5' 7""",145 lbs.,,Orthodox,"Mar 23, 1979"
Edson Barboza,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986"
Eduardo Dantas,"5' 10""",135 lbs.,,,"Feb 03, 1989"
Eduardo Pamplona,"5' 11""",170 lbs.,,,"Feb 20, 1973"
Edward Faaloloto,,155 lbs.,"70""",,"Jul 15, 1984"
Edwin Aguilar,"5' 10""",185 lbs.,,,
Egan Inoue,"5' 9""",190 lbs.,,Southpaw,"Jul 04, 1965"
Egidijus Valavicius,"6' 0""",200 lbs.,,Orthodox,
Eli Tamez,"5' 7""",135 lbs.,,,"Aug 22, 1985"
Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993"
Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986"
Emily Peters Kagan,"5' 3""",115 lbs.,"66""",,"Jul 14, 1981"
Emmanuel Yarborough,"6' 8""",770 lbs.,,Open Stance,"Sep 05, 1960"
Enson Inoue,"5' 10""",210 lbs.,,Orthodox,"Apr 15, 1967"
Eric Galvan,,155 lbs.,,,
Eric Irvin,"5' 8""",155 lbs.,,,"Jan 10, 1986"
Eric Jacob,,155 lbs.,,,
Eric Magana,,,,,
Erick Wanderlei,"6' 1""",205 lbs.,,Orthodox,
Errol Zimmerman,"6' 3""",185 lbs.,,Orthodox,"Apr 20, 1986"
Eugene Jackson,"5' 8""",185 lbs.,,Orthodox,"Sep 23, 1966"
Eugenio Tadeu,"5' 8""",160 lbs.,,Orthodox,
Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
Fabiano Iha,"5' 8""",155 lbs.,,Orthodox,"Jul 28, 1970"
Fabio Nascimento,"5' 10""",185 lbs.,,Orthodox,
Fabricio Camoes,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 23, 1978"
Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989"
Frank Hamaker,,,,,
Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981"
Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980"
Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979"
Gabriel Salinas-Jones,"6' 1""",245 lbs.,,,"Nov 20, 1984"
Gary Padilla,"5' 11""",205 lbs.,,,"May 04, 1980"
Gary Quan,"5' 8""",143 lbs.,,,"Apr 11, 1971"
Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982"
George Pacurariu,"5' 7""",135 lbs.,,,"Jul 28, 1984"
George Zuniga,"5' 9""",185 lbs.,,,
Georgi Karakhanyan,"5' 8""",145 lbs.,,,"May 29, 1985"
Geza Kalman,"6' 1""",200 lbs.,,,
Gilbert Rael,"5' 8""",155 lbs.,,,
Goiti Yamauchi,"5' 10""",145 lbs.,,,"Jan 05, 1993"
Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983"
Greg Nagy,"6' 1""",210 lbs.,,Orthodox,"Oct 18, 1983"
Guilherme Vasconcelos,"6' 0""",185 lbs.,"74""",Orthodox,"Mar 23, 1986"
Gustavo Gabriel,"5' 6""",125 lbs.,,Orthodox,"Apr 01, 1994"
Guto Inocente,"6' 3""",205 lbs.,"77""",Orthodox,"May 29, 1986"
Hayato Sakurai,"5' 7""",168 lbs.,,Orthodox,"Aug 24, 1975"
Hector Ramirez,"6' 0""",205 lbs.,,Orthodox,"Mar 28, 1976"
Hector Urbina,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987"
Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989"
Herschel Walker,"6' 1""",215 lbs.,,Orthodox,"Mar 03, 1962"
Hiroko Yamanaka,"5' 11""",135 lbs.,,,"Oct 24, 1978"
Hiromitsu Kanehara,"5' 10""",200 lbs.,,Orthodox,"Oct 05, 1970"
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,
Hiroyuki Takaya,"5' 6""",139 lbs.,,Orthodox,"Jun 10, 1977"
Hisaki Kato,"6' 0""",185 lbs.,,,"Sep 17, 1982"
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,"Jul 27, 1974"
Hu Yaozong,"6' 3""",205 lbs.,"72""",Orthodox,"Apr 07, 1995"
Humberto Bandenay,"5' 11""",145 lbs.,,Southpaw,"Sep 04, 1994"
Hussain Rasouli,"5' 6""",135 lbs.,,,
Ian Rammel,"6' 0""",185 lbs.,,,"Jul 22, 1985"
Icho Larenas,"6' 3""",235 lbs.,,Orthodox,"Mar 12, 1980"
Igor Zinoviev,"6' 1""",199 lbs.,,Orthodox,
Ilima Macfarlane,"5' 4""",125 lbs.,,,
Isaac Vallie-Flagg,"5' 8""",155 lbs.,"68""",Orthodox,"Apr 08, 1978"
Ismail Naurdiev,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 18, 1996"
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
Issei Tamura,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984"
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,"Jan 11, 1971"
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,"Jul 11, 1991"
JJ Okanovich,"5' 11""",155 lbs.,,,"Nov 04, 1990"
JP Felty,,170 lbs.,,,"Apr 28, 1979"
Jaime Jara,"6' 1""",205 lbs.,,Southpaw,"Aug 02, 1969"
Jake O'Brien,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1984"
James Gabert,,178 lbs.,,,
James Hammortree,"6' 3""",185 lbs.,,Orthodox,"Nov 29, 1983"
James Irvin,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978"
James Wade,"5' 10""",205 lbs.,,,
James Wallace,"5' 10""",155 lbs.,"69""",Orthodox,"Nov 17, 1992"
James Zikic,"6' 2""",205 lbs.,,Orthodox,"Mar 01, 1977"
Jamie Varner,"5' 8""",155 lbs.,"72""",Orthodox,"Oct 12, 1984"
Jamie Yager,"6' 1""",185 lbs.,,Orthodox,"Nov 29, 1983"
Jared Hamman,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 07, 1982"
Jared Papazian,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 01, 1988"
Jarjis Danho,"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983"
Jason Fairn,"6' 1""",230 lbs.,,,
Jason Ireland,"5' 9""",161 lbs.,,Southpaw,"Dec 30, 1979"
Jason Jackson,"6' 1""",170 lbs.,"78""",Orthodox,"Oct 30, 1990"
Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975"
Jason MacDonald,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975"
Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 23, 1985"
Jason Tan,"5' 10""",170 lbs.,,Orthodox,"Dec 17, 1981"
Javier Vazquez,"5' 7""",145 lbs.,"69""",Southpaw,"Jul 16, 1977"
Jeremiah Labiano,"5' 10""",135 lbs.,,,
Jeremiah O'Neal,"5' 8""",260 lbs.,,,"Oct 25, 1977"
Jeremy Hamilton,,185 lbs.,,,"Nov 14, 1984"
Jeremy Jackson,"5' 10""",170 lbs.,,Orthodox,"Sep 19, 1982"
Jeremy Lang,"5' 11""",205 lbs.,,Southpaw,"May 11, 1975"
Jeremy Umphries,,160 lbs.,,,
Jeremy Wallace,"5' 9""",,,,
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
Jessica Rakoczy,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 14, 1977"
Jianping Yang,"5' 7""",145 lbs.,"65""",Orthodox,"Nov 27, 1988"
Jimmy Quinlan,"6' 0""",185 lbs.,"72""",Orthodox,"May 25, 1986"
Jimmy Wallhead,"5' 10""",170 lbs.,"73""",Orthodox,"Mar 14, 1984"
Joanna Jedrzejczyk,"5' 6""",125 lbs.,"65""",Orthodox,"Aug 18, 1987"
Joanne Calderwood,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985"
Joao Paulo Faria,"5' 9""",155 lbs.,,,
Joao Zeferino,"5' 11""",170 lbs.,"73""",Orthodox,"Jan 15, 1986"
Joe Camacho,"5' 9""",155 lbs.,,Orthodox,"Mar 10, 1972"
Joe Pardo,"6' 1""",210 lbs.,,Southpaw,
Joe Taimanglo,"5' 4""",135 lbs.,,,"Jun 27, 1984"
Joey Gambino,"5' 7""",145 lbs.,,Orthodox,"Oct 26, 1988"
John Campetella,"5' 9""",235 lbs.,,Orthodox,
John Elam,,,,,
John Halverson,"5' 9""",155 lbs.,,Southpaw,"Sep 08, 1972"
John Paul Elias,"6' 4""",205 lbs.,,,
John Salgado,"5' 10""",170 lbs.,,,
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978"
Johnny Walker,"6' 5""",205 lbs.,"82""",Orthodox,"Mar 30, 1992"
Jon Koppenhaver,"5' 11""",170 lbs.,,Orthodox,"Nov 30, 1981"
Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980"
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,"Dec 10, 1975"
Jordan Bailey,"5' 9""",145 lbs.,,,
Jordan Radev,"5' 7""",185 lbs.,,Southpaw,"Sep 28, 1976"
Jorge Interiano,"6' 1""",205 lbs.,,,
Jose Landi-Jons,"5' 11""",170 lbs.,,Orthodox,"Sep 09, 1973"
Jose Palacios,"5' 9""",145 lbs.,,Orthodox,
Jose Quinonez,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990"
Josh Ferguson,"5' 5""",125 lbs.,"66""",Orthodox,"May 13, 1988"
Josh Janousek,"5' 11""",185 lbs.,"73""",Orthodox,"Sep 25, 1980"
Josh Jarvis,,,,,
Josh LaBerge,"5' 10""",145 lbs.,,,
Josh Paiva,"5' 6""",125 lbs.,,,"Apr 05, 1991"
Josh Rafferty,"6' 0""",170 lbs.,,Orthodox,"Jan 06, 1981"
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
Junior Barata,"5' 10""",170 lbs.,,Orthodox,"Jan 25, 1982"
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985"
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983"
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,"Jun 28, 1978"
Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988"
Justin James,"5' 10""",155 lbs.,,Orthodox,"Nov 08, 1976"
Justin Salas,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982"
Jutaro Nakao,"5' 9""",170 lbs.,,Southpaw,"Nov 30, 1970"
Kai Kara-France,"5' 5""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986"
Kamaru Usman,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987"
Karen Darabedyan,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986"
Katsuhiko Nagata,"5' 7""",154 lbs.,,Southpaw,"Oct 31, 1973"
Katsuya Inoue,"5' 9""",168 lbs.,,Southpaw,"Aug 10, 1979"
Kazuhiro Hamanaka,"6' 0""",185 lbs.,,Southpaw,"Oct 24, 1978"
Kazuhiro Nakamura,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979"
Kazuki Okubo,"5' 11""",175 lbs.,,Orthodox,
Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,"Jul 14, 1969"
Keiichiro Yamamiya,"5' 11""",185 lbs.,,Southpaw,"Jul 12, 1972"
Keita Nakamura,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984"
Keith Hackney,"5' 11""",200 lbs.,,Sideways,
Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975"
Kelly Faszholz,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985"
Kemran Lachinov,,170 lbs.,,,
Ken Kaneko,"6' 0""",161 lbs.,,Orthodox,
Kengo Ura,"5' 9""",165 lbs.,,,"Jun 20, 1981"
Kenichi Yamamoto,"6' 0""",170 lbs.,,Orthodox,"Jul 11, 1976"
Kenyon Jackson,"6' 0""",185 lbs.,,,
Kevin Aguilar,"5' 7""",145 lbs.,"73""",Orthodox,"Sep 07, 1988"
Kevin Ferguson,"6' 2""",235 lbs.,,Orthodox,"Feb 08, 1974"
Kevin Haley,"6' 2""",205 lbs.,,,
Kevin Jackson,"5' 10""",199 lbs.,,Switch,
Kevin Randleman,"5' 10""",205 lbs.,,Orthodox,"Aug 10, 1971"
Khadis Ibragimov,"6' 2""",205 lbs.,,,"May 21, 1995"
Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992"
Kiyoshi Tamura,"5' 11""",185 lbs.,,Southpaw,"Dec 17, 1969"
Koji Oishi,"5' 8""",170 lbs.,,Orthodox,"May 31, 1977"
Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993"
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
Lando Vannata,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
Larissa Pacheco,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 07, 1994"
Leon Edwards,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Linton Vassell,"6' 4""",205 lbs.,,,"Jun 03, 1983"
Lionel Lanham,,205 lbs.,,,"Aug 31, 1980"
Lloyd Van Dams,"6' 1""",240 lbs.,,Southpaw,"Mar 05, 1972"
Logan Nail,,185 lbs.,,,"Jun 20, 1989"
Lorenz Larkin,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Louis Jauregui,"5' 7""",170 lbs.,,,
Lucas Gamaza,,170 lbs.,,,
Luis Ramos,"5' 8""",170 lbs.,,Orthodox,"Jan 18, 1981"
Luiz Cane,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981"
Lukasz Sajewski,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990"
Luke Zachrich,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981"
Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978"
Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980"
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981"
Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988"
Makoto Takimoto,"5' 7""",205 lbs.,,Southpaw,"Dec 08, 1979"
Manny Tapia,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
Manny Vazquez,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993"
